No,Kategori,Pola Grammar,Arti,Penjelasan,Contoh Kalimat (Jepang),Contoh Kalimat (Indonesia)
1,Kata Sifat,Kata Sifat-i (Positif),~i desu,Bentuk positif sopan.,おもしろいです,Menarik.
2,Kata Sifat,Kata Sifat-i (Negatif),~ku arimasen / ~ku nai desu,Bentuk negatif sopan.,おもしろく ありません,Tidak menarik.
3,Kata Sifat,Kata Sifat-i (Lampau),~katta desu,Bentuk lampau positif.,おもしろかったです,Dulu menarik (tadi menarik).
4,Kata Sifat,Kata Sifat-i (Lampau Negatif),~ku arimasen deshita / ~ku nakatta desu,Bentuk lampau negatif.,おもしろく なかったです,Dulu tidak menarik.
5,Kata Sifat,Pengecualian: いい (Bagus),Yoi / Yoku,Kata 'ii' berubah menjadi 'yoi' atau 'yoku' saat dikonjugasi.,よくないです / よかったです,Tidak bagus / Bagus (lampau).
6,Kata Sifat,Kata Sifat-na (Positif),~desu,Bentuk positif sopan.,きれいです,Cantik / Bersih.
7,Kata Sifat,Kata Sifat-na (Negatif),~dewa arimasen / ~ja nai desu,Bentuk negatif sopan (dewa = ja).,きれいじゃ ないです,Tidak cantik.
8,Kata Sifat,Kata Sifat-na (Lampau),~deshita,Bentuk lampau positif.,きれいでした,Dulu cantik.
9,Kata Sifat,Kata Sifat-na (Lampau Negatif),~dewa arimasen deshita / ~ja nakatta desu,Bentuk lampau negatif.,きれいじゃ なかったです,Dulu tidak cantik.
10,Kata Benda,Menerangkan Kata Benda (Sifat-i),K. Sifat-i + K. Benda,Langsung digabungkan.,高い山,Gunung yang tinggi.
11,Kata Benda,Menerangkan Kata Benda (Sifat-na),K. Sifat-na + na + K. Benda,Perlu menambahkan partikel 'na'.,きれいな海,Laut yang indah.
12,Kata Benda,Menerangkan Kata Benda (Benda),K. Benda + no + K. Benda,Menyatakan kepemilikan, buatan, atau asal.,日本の車,Mobil Jepang / Mobil buatan Jepang.
13,Partikel,Partikel の (Pengganti),~no,~ punya / ~ yang...,Menggantikan kata benda yang sudah disebutkan sebelumnya.,A: これ誰のですか B: 田中さんのです,A: Ini punya siapa? B: Punya Pak Tanaka.
14,Keberadaan,Imasu,Ada (untuk makhluk hidup),Untuk manusia dan hewan.,この クラスに 中国人が ５人 います,Di kelas ini ada 5 orang China.
15,Keberadaan,Arimasu,Ada (untuk benda mati),Untuk benda mati dan tumbuhan. Konteks bisa berarti 'punya'.,傘が ありますか,Apakah ada payung? (Punya payung?)
16,Keberadaan,Lokasi keberadaan,(Tempat) ni (Subjek) ga Arimasu/Imasu,Di (Tempat) ada (Subjek).,れいぞうこの 中に ケーキが あります,Di dalam kulkas ada kue.
17,Partikel,Partikel は (Topik),~wa,Adalah / Sebagai penanda topik,Menjelaskan topik pembicaraan.,わたしは カナダから 来ました,Saya datang dari Kanada.
18,Partikel,Partikel は (Perbandingan),~wa ... ~wa,Yang ini ..., tapi yang itu ...,Membandingkan dua hal (kontras).,肉は 食べますが、魚は 食べません,Daging saya makan, tapi ikan tidak saya makan.
19,Partikel,Pola A wa B ga,A wa B ga ~,Mendeskripsikan ciri khas/bagian dari topik A.,象は 鼻が 長いです (Gajah hidungnya panjang),兄は 背が 高いです (Kakak laki-laki badannya tinggi).
20,Partikel,Partikel が (Kata Tanya),Kata Tanya + ga,Penanda subjek untuk kata tanya.,Digunakan ketika subjeknya adalah kata tanya.,どれが 田中さんの コップですか,Yang mana gelasnya Pak Tanaka?
21,Partikel,Partikel を (Objek),~o,Objek penderita,Digunakan pada objek dari kata kerja transitif.,辞書を 借ります,Meminjam kamus.
22,Partikel,Partikel を (Tempat),~o (Verba Perpindahan),Melewati / Mengelilingi,Digunakan bersama kata kerja perpindahan (jalan, lari, terbang, belok).,公園を 散歩します,Jalan-jalan di taman.
23,Partikel,Partikel と,~to,Dan / Bersama,Menghubungkan kata benda atau menyatakan kebersamaan.,母と 買い物しました,Berbelanja bersama Ibu.
24,Partikel,Partikel に (Waktu),~ni,Pada (waktu),Menunjukkan waktu spesifik.,８時に 来て ください,Tolong datang pada jam 8.
25,Partikel,Partikel に (Tujuan/Tempat),~ni,Ke / Di,Menunjukkan tujuan pergerakan atau lokasi keberadaan.,会社に 入ります,Masuk ke perusahaan.
26,Partikel,Partikel で (Tempat Aktivitas),~de,Di (tempat melakukan aksi),Menunjukkan tempat terjadinya kegiatan.,日本で 働いて います,Bekerja di Jepang.
27,Partikel,Partikel で (Cara/Alat),~de,Dengan / Menggunakan / Naik,Menunjukkan alat atau cara transportasi.,電車で 行きます,Pergi menggunakan (naik) kereta.
28,Partikel,Partikel も,~mo,Juga / Pun,Menggantikan wa/ga/o untuk arti 'juga'.,わたしも パーティーに 行きます,Saya juga pergi ke pesta.
29,Partikel,Partikel も (Negatif),~mo ... ~masen,Tidak ... satupun / Sama sekali tidak,Digunakan dalam kalimat negatif.,何も 食べませんでした,Tidak makan apa-apa.
30,Partikel,Partikel か,~ka,Atau,Pilihan antara dua hal.,コーヒーか 紅茶,Kopi atau teh hitam.
31,Partikel,Partikel や,~ya,Dan lain-lain (seperti),Menyebutkan contoh perwakilan (tidak lengkap).,コンビニや 銀行などが あります,Ada toserba, bank, dan lain-lain.
32,Partikel,Partikel から、まで,~kara, ~made,Dari, Sampai,Menunjukkan titik awal dan akhir (waktu/tempat).,テストは 15日から 18日までです,Ujian dari tanggal 15 sampai tanggal 18.
33,Sufiks,Goro / Gurai / Dake,~goro / ~gurai / ~dake,Kira-kira (waktu) / Kira-kira (jumlah) / Hanya,Goro untuk titik waktu, Gurai untuk durasi/jumlah.,７時ごろ / 1000円ぐらい / 日よう日だけ,Kira-kira jam 7 / Kira-kira 1000 yen / Hanya hari Minggu.
34,Kata Tanya,Daftar Kata Tanya,Dare/Nani/Doko/Itsu/Douyatte,Siapa/Apa/Dimana/Kapan/Bagaimana,Termasuk bentuk sopan (Donata) dan variasi (Dochira).,国は どちらですか,Negara Anda di mana?
35,Kata Tanya,Kata Tanya + ka,~ka,Sesuatu / Seseorang / Suatu tempat,Membentuk kata benda tak tentu.,何か 食べましょう,Ayo makan sesuatu.
36,Kata Tanya,Kata Tanya + demo,~demo,Apa pun / Siapa pun / Kapan pun,Menyatakan 'setiap' atau 'bebas'.,いつでも 来て ください,Silakan datang kapan pun.
37,Penghubung,Menghubungkan Kata Sifat-i,~kute,Dan (sifat-i),Mengganti 'i' dengan 'kute'.,安くて、おいしいです,Murah dan enak.
38,Penghubung,Menghubungkan Sifat-na/Benda,~de,Dan (sifat-na/benda),Menambahkan 'de' setelah kata.,きれいで、やさしいです,Cantik dan baik hati.
39,Penghubung,Menghubungkan Kata Kerja (Urutan),V-te,Lalu / Dan,Menyatakan urutan kegiatan.,朝 起きて、シャワーを 浴びて...,Pagi bangun, lalu mandi shower...
40,Kata Kerja,V-te kara,V-te kara,Setelah (melakukan V),Menyatakan aksi setelah aksi lain selesai.,手を洗ってから、ご飯を食べましょう,Setelah cuci tangan, mari makan nasi.
